Province_State,Date,Vaccine_Type,FIPS,Country_Region,Lat,Long_,Doses_alloc,Doses_shipped,Doses_admin,Stage_One_Doses,Stage_Two_Doses,Combined_Key
Alabama,2020-12-25,All,1,US,32.3182,-86.9023,40950,,5181,5181,,"Alabama, US"
Alabama,2020-12-25,Moderna,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-25,Pfizer,1,US,32.3182,-86.9023,40950,,5181,,,"Alabama, US"
Alabama,2020-12-25,Unassigned,1,US,32.3182,-86.9023,0,,0,5181,,"Alabama, US"
Alabama,2020-12-26,All,1,US,32.3182,-86.9023,40950,,5181,5181,,"Alabama, US"
Alabama,2020-12-26,Moderna,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-26,Pfizer,1,US,32.3182,-86.9023,40950,,5181,,,"Alabama, US"
Alabama,2020-12-26,Unassigned,1,US,32.3182,-86.9023,0,,0,5181,,"Alabama, US"
Alabama,2020-12-27,All,1,US,32.3182,-86.9023,40950,,5181,5181,,"Alabama, US"
Alabama,2020-12-27,Moderna,1,US,32.3182,-86.9023,,,,,,"Alabama, US"
Alabama,2020-12-27,Pfizer,1,US,32.3182,-86.9023,40950,,5181,,,"Alabama, US"
Alabama,2020-12-27,Unassigned,1,US,32.3182,-86.9023,0,,0,5181,,"Alabama, US"
Alabama,2020-12-28,All,1,US,32.3182,-86.9023,128175,,20354,20354,,"Alabama, US"
Alabama,2020-12-28,Moderna,1,US,32.3182,-86.9023,,,2206,,,"Alabama, US"
Alabama,2020-12-28,Pfizer,1,US,32.3182,-86.9023,40950,,18148,,,"Alabama, US"
Alabama,2020-12-28,Unassigned,1,US,32.3182,-86.9023,87225,,0,20354,,"Alabama, US"
Alabama,2020-12-29,All,1,US,32.3182,-86.9023,128175,,20354,20354,,"Alabama, US"
Alabama,2020-12-29,Moderna,1,US,32.3182,-86.9023,,,2206,,,"Alabama, US"
Alabama,2020-12-29,Pfizer,1,US,32.3182,-86.9023,40950,,18148,,,"Alabama, US"
Alabama,2020-12-29,Unassigned,1,US,32.3182,-86.9023,87225,,0,20354,,"Alabama, US"
Alabama,2020-12-30,All,1,US,32.3182,-86.9023,128175,,20354,20354,,"Alabama, US"
Alabama,2020-12-30,Moderna,1,US,32.3182,-86.9023,,,2206,,,"Alabama, US"
Alabama,2020-12-30,Pfizer,1,US,32.3182,-86.9023,40950,,18148,,,"Alabama, US"
Alabama,2020-12-30,Unassigned,1,US,32.3182,-86.9023,87225,,0,20354,,"Alabama, US"
Alabama,2020-12-31,All,1,US,32.3182,-86.9023,128175,,20354,20354,,"Alabama, US"
Alabama,2020-12-31,Moderna,1,US,32.3182,-86.9023,,,2206,,,"Alabama, US"
Alabama,2020-12-31,Pfizer,1,US,32.3182,-86.9023,40950,,18148,,,"Alabama, US"
Alabama,2020-12-31,Unassigned,1,US,32.3182,-86.9023,87225,,0,20354,,"Alabama, US"
Alabama,2021-01-01,All,1,US,32.3182,-86.9023,128175,,20354,20354,,"Alabama, US"
Alabama,2021-01-01,Moderna,1,US,32.3182,-86.9023,,,2206,,,"Alabama, US"
Alabama,2021-01-01,Pfizer,1,US,32.3182,-86.9023,40950,,18148,,,"Alabama, US"
Alabama,2021-01-01,Unassigned,1,US,32.3182,-86.9023,87225,,0,20354,,"Alabama, US"
Alabama,2021-01-02,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-02,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-02,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
Alabama,2021-01-02,Unassigned,1,US,32.3182,-86.9023,185300,,0,20354,,"Alabama, US"
Alabama,2021-01-03,All,1,US,32.3182,-86.9023,226250,,42810,20354,,"Alabama, US"
Alabama,2021-01-03,Moderna,1,US,32.3182,-86.9023,,,14541,,,"Alabama, US"
Alabama,2021-01-03,Pfizer,1,US,32.3182,-86.9023,40950,,28269,,,"Alabama, US"
